"job_title","job_link","area","industry","date_posted","search_term","salary","state","salary_annual","weekday"
"Senior Data Engineer","/job/68189491?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-16 19:35:00,"data-scientist",NA,"NSW",NA,"Friday"
"Online Data Analyst - Australia","/job/67983117?type=standout","Darwin NT","(Information & Communication Technology)",2023-06-07 19:35:00,"data-scientist",NA,"NT",NA,"Wednesday"
"Principal Consultant - Data IoT & AI (Contract)","/job/68040604?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist",NA,"VIC",NA,"Friday"
"Analytics Engineer","/job/68181491?type=standout","Newcastle, Maitland & Hunter NSW","(Information & Communication Technology)",2023-06-16 19:35:00,"data-scientist",NA,"NSW",NA,"Friday"
"SENIOR DATA ENGINEER","/job/68099160?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-13 19:35:00,"data-scientist",NA,"NSW",NA,"Tuesday"
"Lead Machine Learning Engineer - Greenfield Work! Contract","/job/67983731?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-07 19:35:00,"data-scientist","Top Daily Rate! Lead MLE","NSW",NA,"Wednesday"
"Principal Data Developer","/job/68311109?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist",NA,"QLD",NA,"Friday"
"Principal Consultant - Data","/job/68312885?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist","$190k + super + bonus","NSW",190,"Friday"
"Senior Analytics Adviser","/job/68297531?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist","$650-$700 pd","QLD",650,"Thursday"
"Principal Advisor, Data & Analytics","/job/68274893?type=standout","Melbourne VIC","(Consulting & Strategy)",2023-06-21 19:35:00,"data-scientist",NA,"VIC",NA,"Wednesday"
"Data Engineers - Big Data & Cloud","/job/68047280?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist",NA,"NSW",NA,"Friday"
"Data Analyst","/job/68153581?type=promoted","Sydney NSW","(Information & Communication Technology)",NA,"data-scientist","$60,000 – $65,000 per year","NSW",60000,NA
"Consultant Data & Analytics - Engineering IM","/job/68079085?type=standout","Brisbane QLD","(Engineering)",2023-06-12 19:35:00,"data-scientist","WFH, Office, Hybrid and flexible hours","QLD",NA,"Monday"
"Senior Manager / Director - Analytics and AI","/job/68178846?type=standout","Brisbane QLD","(Accounting)",2023-06-16 19:35:00,"data-scientist",NA,"QLD",NA,"Friday"
"Data Engineer - GCP","/job/68058107?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist","$150k - $180k p.a.","VIC",150,"Friday"
"Senior Data Engineer","/job/68181957?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-16 19:35:00,"data-scientist",NA,"NSW",NA,"Friday"
"Data Scientist Manager","/job/67727542?type=standard","Brisbane QLD","(Information & Communication Technology)",2023-06-23 18:35:00,"data-scientist",NA,"QLD",NA,"Friday"
"Senior Computational Biologist","/job/68240569?type=standout","Melbourne VIC","(Healthcare & Medical)",2023-06-20 19:35:00,"data-scientist","$127,000 - $137,000","VIC",127000,"Tuesday"
"Senior Machine Learning Engineer","/job/67897159?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-02 19:35:00,"data-scientist","$165,000 - $177,000 Inc. Super PLUS Bonus!","NSW",165000,"Friday"
"Data Engineer","/job/67937869?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-05 19:35:00,"data-scientist",NA,"NSW",NA,"Monday"
"Senior Data Engineer","/job/68053417?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist","$150k - $165k p.a.","VIC",150,"Friday"
"Senior Data Engineer","/job/68115875?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-13 19:35:00,"data-scientist",NA,"VIC",NA,"Tuesday"
"Python Engineer - Data Streaming Project","/job/68000406?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-07 19:35:00,"data-scientist","$950-1000p/d","VIC",950,"Wednesday"
"Graduate Data Engineer (Remote)","/job/67809611?type=standard","Brisbane QLD","(Information & Communication Technology)",2023-05-30 19:35:00,"data-scientist","$70K per year","QLD",70,"Tuesday"
"Senior Back End Software Engineer / Data Engineer","/job/68280005?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-21 19:35:00,"data-scientist","up to approx $170k base + super","VIC",170,"Wednesday"
"Data Engineering Manager with Dataglance","/job/68037112?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist","$160,000 – $180,000 per year","VIC",160000,"Friday"
"Azure Data Engineer","/job/68032644?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-08 19:35:00,"data-scientist","$120,000 - $150,000 + Super","NSW",120000,"Thursday"
"Intern / Junior AI & Machine learning Scientist (ChatGPT application)","/job/67810789?type=standout","Melbourne VIC","(Science & Technology)",2023-05-30 19:35:00,"data-scientist",NA,"VIC",NA,"Tuesday"
"Data Engineer","/job/67930366?type=standout","Canberra ACT","(Information & Communication Technology)",2023-06-05 19:35:00,"data-scientist",NA,"ACT",NA,"Monday"
"Head of Data Engineering - Data Platforms","/job/68047184?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist",NA,"NSW",NA,"Friday"
"Data Engineering Lead","/job/67931004?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-05 19:35:00,"data-scientist",NA,"VIC",NA,"Monday"
"Data Engineer","/job/67927980?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-05 19:35:00,"data-scientist","Base + Super + Bonus + flexible work options","VIC",NA,"Monday"
"Scientist - Cell Culture and Purification Development","/job/68227124?type=promoted","Melbourne VIC","(Science & Technology)",NA,"data-scientist","Competitive salary + Super + Benefits","VIC",NA,NA
"Consultant, Data & Analytics","/job/67997372?type=standout","Brisbane QLD","(Consulting & Strategy)",2023-06-07 19:35:00,"data-scientist",NA,"QLD",NA,"Wednesday"
"Computational Biologist","/job/68167004?type=standout","Brisbane QLD","(Science & Technology)",2023-06-15 19:35:00,"data-scientist",NA,"QLD",NA,"Thursday"
"Junior Data Analyst","/job/68002346?type=standout","Adelaide SA","(Information & Communication Technology)",2023-06-07 19:35:00,"data-scientist",NA,"SA",NA,"Wednesday"
"Azure Data Engineer","/job/68115489?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-13 19:35:00,"data-scientist",NA,"VIC",NA,"Tuesday"
"Research Officer","/job/68239522?type=standout","Sydney NSW","(Education & Training)",2023-06-20 19:35:00,"data-scientist",NA,"NSW",NA,"Tuesday"
"Recruitment Consultant - Data & Analytics","/job/68265654?type=standout","Sydney NSW","(Human Resources & Recruitment)",2023-06-21 19:35:00,"data-scientist","Up to $120,000 + Super + Commission","NSW",120000,"Wednesday"
"Data Engineer - Snowflake, SQL","/job/67940392?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-05 19:35:00,"data-scientist","$900pd","VIC",900,"Monday"
"AWS Senior Data Engineer","/job/68120198?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-13 19:35:00,"data-scientist",NA,"NSW",NA,"Tuesday"
"AWS Data Engineer Role","/job/68009029?type=standard","Perth WA","(Information & Communication Technology)",2023-06-08 19:35:00,"data-scientist",NA,"WA",NA,"Thursday"
"Senior Data Engineer","/job/68032036?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-08 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
"Senior Developer / Technical Lead, Data","/job/68312617?type=standout","Melbourne VIC","(Government & Defence)",2023-06-23 19:35:00,"data-scientist",NA,"VIC",NA,"Friday"
"Senior Data Engineer","/job/67953114?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-06 19:35:00,"data-scientist",NA,"VIC",NA,"Tuesday"
"Data Engineer","/job/67959999?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-06 19:35:00,"data-scientist","$130,000 – $150,000 per year","NSW",130000,"Tuesday"
"Data Engineering Manager","/job/68187248?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-16 19:35:00,"data-scientist",NA,"VIC",NA,"Friday"
"Senior Data Engineer","/job/68014618?type=standard","Brisbane QLD","(Information & Communication Technology)",2023-06-08 19:35:00,"data-scientist",NA,"QLD",NA,"Thursday"
"Graduate Data Engineer","/job/67835565?type=standout","Brisbane QLD","(Engineering)",2023-05-31 19:35:00,"data-scientist","$72,498 + super + RDO","QLD",72498,"Wednesday"
"Big Data Engineer","/job/68020806?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-08 19:35:00,"data-scientist",NA,"VIC",NA,"Thursday"
"Data Engineering Manager - Data Transformation","/job/68047245?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist",NA,"NSW",NA,"Friday"
"ETL Data Engineer (6-month Contract)","/job/68275065?type=standout","Canberra ACT","(Information & Communication Technology)",2023-06-21 19:35:00,"data-scientist",NA,"ACT",NA,"Wednesday"
"Data Engineer - GCP","/job/67961911?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-06 19:35:00,"data-scientist","$150k - $180k p.a.","VIC",150,"Tuesday"
"Data Analyst","/job/68153563?type=promoted","Brisbane QLD","(Information & Communication Technology)",NA,"data-scientist","$60,000 – $65,000 per year","QLD",60000,NA
"Head of Data","/job/68042561?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist",NA,"NSW",NA,"Friday"
"Senior Machine Learning Scientist - Price and Promotion","/job/67798748?type=standout","Adelaide SA","(Information & Communication Technology)",2023-05-29 19:35:00,"data-scientist",NA,"SA",NA,"Monday"
"Machine Learning & AI Engineer","/job/67726095?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-23 18:35:00,"data-scientist","$120,000 to $150,000 base + superannuation + incen","NSW",120000,"Friday"
"Big Data Engineer","/job/68014382?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-08 19:35:00,"data-scientist",NA,"VIC",NA,"Thursday"
"Data Analytics Mid-Year Internship - July 2023 start","/job/67996261?type=standard","Brisbane QLD","(Consulting & Strategy)",2023-06-07 19:35:00,"data-scientist",NA,"QLD",NA,"Wednesday"
"Data Engineer","/job/67894813?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-02 19:35:00,"data-scientist","$900 - $1k p.d.","VIC",900,"Friday"
"Claims Data Engineer","/job/68227740?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-19 19:35:00,"data-scientist","Excellent package, up to $180K","NSW",180,"Monday"
"Senior Data Engineer - Move to Lead - Melbourne","/job/67991356?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-07 19:35:00,"data-scientist",NA,"VIC",NA,"Wednesday"
"Domain Bioinformatician (Research Officer)","/job/68128798?type=standout","Melbourne VIC","(Science & Technology)",2023-06-14 19:35:00,"data-scientist",NA,"VIC",NA,"Wednesday"
"Azure Data Engineer","/job/68013211?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-08 19:35:00,"data-scientist",NA,"VIC",NA,"Thursday"
"Senior Developer / Technical Lead, Data","/job/68312701?type=standout","Adelaide SA","(Government & Defence)",2023-06-23 19:35:00,"data-scientist",NA,"SA",NA,"Friday"
"Data and Analytics Team Coordinator","/job/68177094?type=standout","Northern QLD","(Information & Communication Technology)",2023-06-16 19:35:00,"data-scientist",NA,"QLD",NA,"Friday"
"Data Engineer - ETL","/job/68027711?type=standard","Canberra ACT","(Information & Communication Technology)",2023-06-08 19:35:00,"data-scientist","$130000 - $160000 per annum","ACT",130000,"Thursday"
"Cloud Data Engineer with Databricks","/job/68048434?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist","$160,000 – $180,000 per year","NSW",160000,"Friday"
"Technical Lead - Investment Data, AWS","/job/68135812?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-14 19:35:00,"data-scientist","$175000","VIC",175000,"Wednesday"
"Data Engineer","/job/67846123?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-05-31 19:35:00,"data-scientist",NA,"VIC",NA,"Wednesday"
"Machine Learning Engineer","/job/67807059?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-05-30 19:35:00,"data-scientist","Competitive","VIC",NA,"Tuesday"
"Senior Developer / Technical Lead, Data","/job/68312672?type=standout","Canberra ACT","(Government & Defence)",2023-06-23 19:35:00,"data-scientist",NA,"ACT",NA,"Friday"
"Data Engineer","/job/67844389?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-05-31 19:35:00,"data-scientist","$120k - $149614 p.a.","QLD",120,"Wednesday"
"Graduate Consultants - Data","/job/67928034?type=standout","Sydney NSW","(Consulting & Strategy)",2023-06-05 19:35:00,"data-scientist","$60k - $70k p.a. + super","NSW",60,"Monday"
"Data Analyst","/job/68153592?type=promoted","Melbourne VIC","(Information & Communication Technology)",NA,"data-scientist","$60,000 – $65,000 per year","VIC",60000,NA
"Enterprise Architect - Data","/job/68128844?type=promoted","Sydney NSW","(Information & Communication Technology)",NA,"data-scientist",NA,"NSW",NA,NA
"Principal Consultant, Information Security - Data Integration","/job/67884678?type=standout","Sydney NSW","(Banking & Financial Services)",2023-06-01 19:35:00,"data-scientist","Attractive Salary Package","NSW",NA,"Thursday"
"Senior Developer / Technical Lead, Data","/job/68312635?type=standout","Brisbane QLD","(Government & Defence)",2023-06-23 19:35:00,"data-scientist",NA,"QLD",NA,"Friday"
"Data Engineer","/job/67955267?type=standard","Launceston & North East TAS","(Information & Communication Technology)",2023-06-06 19:35:00,"data-scientist",NA,"TAS",NA,"Tuesday"
"Consultant, Data & Analytics","/job/67997368?type=standout","Sydney NSW","(Consulting & Strategy)",2023-06-07 19:35:00,"data-scientist",NA,"NSW",NA,"Wednesday"
"Data Analytics Mid-Year Internship - July 2023 start","/job/67996268?type=standard","Canberra ACT","(Consulting & Strategy)",2023-06-07 19:35:00,"data-scientist",NA,"ACT",NA,"Wednesday"
"Ops Data & Environmental Analyst","/job/67984572?type=standout","Canberra ACT","(Information & Communication Technology)",2023-06-07 19:35:00,"data-scientist","Attractive salary +14% super","ACT",NA,"Wednesday"
"Senior Data Engineer","/job/67945196?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-06-05 19:35:00,"data-scientist","inc super","QLD",NA,"Monday"
"Ops Data & Environmental Analyst","/job/67984571?type=standout","Canberra ACT","(Information & Communication Technology)",2023-06-07 19:35:00,"data-scientist","Attractive salary +14% super","ACT",NA,"Wednesday"
"Research Fellow in Physics/Machine Learning","/job/68018928?type=standout","Blue Mountains & Central West NSW","(Science & Technology)",2023-06-08 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
"Data Analytics Mid-Year Internship - July 2023 start","/job/67996271?type=standard","Sydney NSW","(Consulting & Strategy)",2023-06-07 19:35:00,"data-scientist",NA,"NSW",NA,"Wednesday"
"Data Warehousing Engineer","/job/67963611?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-06 19:35:00,"data-scientist",NA,"VIC",NA,"Tuesday"
"Consultant, Data & Analytics","/job/67997363?type=standout","Melbourne VIC","(Consulting & Strategy)",2023-06-07 19:35:00,"data-scientist",NA,"VIC",NA,"Wednesday"
"Graduate Analytical Scientist","/job/68183489?type=standard","Adelaide SA","(Science & Technology)",2023-06-16 19:35:00,"data-scientist",NA,"SA",NA,"Friday"
"Azure Data Engineer","/job/68002480?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-07 19:35:00,"data-scientist","$1100 - $1200 p.d, including superannuation","VIC",1100,"Wednesday"
"Senior Data Engineer","/job/67954478?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-06 19:35:00,"data-scientist","$160000.00 - $170000.00 p.a.","VIC",160000,"Tuesday"
"Analytics Engineer","/job/67881542?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-01 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
"Software Engineer - Rule Engine Specialist","/job/68280713?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-21 19:35:00,"data-scientist","$160,000 to $180,000","NSW",160000,"Wednesday"
"Senior Data Engineer - Contract","/job/67957594?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-06 19:35:00,"data-scientist",NA,"NSW",NA,"Tuesday"
"Senior Developer / Technical Lead, Data","/job/68312596?type=standout","Sydney NSW","(Government & Defence)",2023-06-23 19:35:00,"data-scientist",NA,"NSW",NA,"Friday"
"Data Developer","/job/68181961?type=standard","Brisbane QLD","(Information & Communication Technology)",2023-06-16 19:35:00,"data-scientist",NA,"QLD",NA,"Friday"
"Project Controls Manager","/job/68276609?type=promoted","Perth WA","(Mining, Resources & Energy)",NA,"data-scientist",NA,"WA",NA,NA
"Senior Research Scientist (Monitoring)","/job/68279158?type=standout","Perth WA","(Science & Technology)",2023-06-21 19:35:00,"data-scientist","PSCA, Spec Calling Level 3, $118,325 - $130,458","WA",118325,"Wednesday"
"Data Analytics Mid-Year Internship - July 2023 start","/job/67996266?type=standard","Perth WA","(Consulting & Strategy)",2023-06-07 19:35:00,"data-scientist",NA,"WA",NA,"Wednesday"
"Lead Data Engineer","/job/67931806?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-05 19:35:00,"data-scientist","160k - 200k DoE","NSW",NA,"Monday"
"Data Engineer- AWS, Databricks","/job/67870934?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-01 19:35:00,"data-scientist",NA,"NSW",NA,"Thursday"
"Data Engineer","/job/67844168?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-05-31 19:35:00,"data-scientist",NA,"VIC",NA,"Wednesday"
"Deputy Director, Data, Analytics & Governance","/job/68187735?type=standout","Canberra ACT","(Information & Communication Technology)",2023-06-16 19:35:00,"data-scientist","Attractive Senior Manager Salary Package","ACT",NA,"Friday"
"Data Warehouse Engineer","/job/68324533?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-23 19:35:00,"data-scientist","$40 - $50 p.h. +Superannuation","VIC",40,"Friday"
"Analyst Integrated Scheduling","/job/68283364?type=standout","Perth WA","(Science & Technology)",2023-06-21 19:35:00,"data-scientist","Free onsite parking","WA",NA,"Wednesday"
"Research Fellow in AI Planning and Machine Learning","/job/68223924?type=standout","Canberra ACT","(Education & Training)",2023-06-19 19:35:00,"data-scientist","$107,475- $121,857 plus 17% Superannuation","ACT",107475,"Monday"
"Cloud Data Engineer - 6 Month Contract","/job/67925607?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-05 19:35:00,"data-scientist","$950-1000p/d + GST","VIC",950,"Monday"
"Data Engineer","/job/67753085?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-05-26 19:35:00,"data-scientist","$120,000 - $140,000 base depending on experience","VIC",120000,"Friday"
"Data Ops Tech Lead","/job/67929877?type=standout","Canberra ACT","(Information & Communication Technology)",2023-06-05 19:35:00,"data-scientist",NA,"ACT",NA,"Monday"
"Data Platform Administrator","/job/67986610?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-07 19:35:00,"data-scientist",NA,"NSW",NA,"Wednesday"
"Principal DevOps Engineer - NSW Data Analytics Centre (DAC)","/job/68248722?type=standard","Sydney NSW","(Information & Communication Technology)",2023-06-20 19:35:00,"data-scientist","$134411 - $155445 p.a. + superannuation","NSW",134411,"Tuesday"
"Data Engineer","/job/67808534?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-05-30 19:35:00,"data-scientist","$130k pkg (includes super) + annual leave loading","VIC",130,"Tuesday"
"Data Analytics Mid-Year Internship - July 2023 start","/job/67996269?type=standard","Melbourne VIC","(Consulting & Strategy)",2023-06-07 19:35:00,"data-scientist",NA,"VIC",NA,"Wednesday"
"APS6 and EL1 Energy data analysts/modellers","/job/68313775?type=standard","Canberra ACT","(Government & Defence)",2023-06-23 19:35:00,"data-scientist","$78,548 - $124,403","ACT",78548,"Friday"
"Geospatial Data Analyst","/job/68241085?type=standard","Perth WA","(Information & Communication Technology)",2023-06-20 19:35:00,"data-scientist",NA,"WA",NA,"Tuesday"
"Data Engineer 2023-06","/job/68053187?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist",NA,"QLD",NA,"Friday"
"Senior Data Engineer","/job/68006242?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-07 19:35:00,"data-scientist","$140,000 – $160,000 per year","VIC",140000,"Wednesday"
"Project Manager","/job/67918078?type=promoted","Brisbane QLD","(Engineering)",NA,"data-scientist",NA,"QLD",NA,NA
"Data Analyst","/job/68322540?type=promoted","Sydney NSW","(Information & Communication Technology)",NA,"data-scientist",NA,"NSW",NA,NA
"Data Quality Specialist","/job/68211767?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-06-19 19:35:00,"data-scientist",NA,"QLD",NA,"Monday"
"Statistician","/job/68269188?type=standout","Sydney NSW","(Healthcare & Medical)",2023-06-21 19:35:00,"data-scientist","$125,722 – $140,551 total rem (pro rata) per annum","NSW",125722,"Wednesday"
"Senior Data Engineer","/job/67992759?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-07 19:35:00,"data-scientist",NA,"NSW",NA,"Wednesday"
"Data Engineer","/job/67839603?type=standard","Sydney NSW","(Information & Communication Technology)",2023-05-31 19:35:00,"data-scientist",NA,"NSW",NA,"Wednesday"
"People and Analytics Lead","/job/68249325?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-20 19:35:00,"data-scientist",NA,"VIC",NA,"Tuesday"
"Senior Research Scientist (FMP Monitoring Coordinator)","/job/68128222?type=standout","Perth WA","(Science & Technology)",2023-06-14 19:35:00,"data-scientist","PSCA, Spec Calling Level 3, $118,325 - $130,458","WA",118325,"Wednesday"
"Data Engineer","/job/67744479?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-05-26 19:35:00,"data-scientist","$800pd including Super","VIC",800,"Friday"
"Data and Analytics Delivery Lead :: Long Term Day Rate Contract","/job/68045755?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-20 19:35:00,"data-scientist",NA,"VIC",NA,"Tuesday"
"Data Engineer","/job/67730905?type=standout","Toowoomba & Darling Downs QLD","(Banking & Financial Services)",2023-06-23 18:35:00,"data-scientist",NA,"QLD",NA,"Friday"
"ETL Data Engineer (6-month Contract)","/job/68275159?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-21 19:35:00,"data-scientist",NA,"VIC",NA,"Wednesday"
"Research Scientist (Climate Adaptation Fauna Geneticist)","/job/68117297?type=standout","Perth WA","(Science & Technology)",2023-06-13 19:35:00,"data-scientist","PSCA, Spec Calling Level 2 $102,808 -$112,645","WA",102808,"Tuesday"
"Senior Data Engineer - SQL Development | Data Bricks | Permanent","/job/68016045?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-06-08 19:35:00,"data-scientist","$130K-$150K (incl. super)","VIC",130,"Thursday"
"NLP & AI Engineer","/job/68202118?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-17 19:35:00,"data-scientist","$120,000 – $170,000 per year","NSW",120000,"Saturday"
"Associate Director, Data Services","/job/68241684?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-06-20 19:35:00,"data-scientist","plus super of up to 17%","QLD",NA,"Tuesday"
"Senior Data Engineer","/job/67954298?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-06 19:35:00,"data-scientist",NA,"VIC",NA,"Tuesday"
"Casual Senior Research Assistant","/job/68253857?type=standout","Brisbane QLD","(Education & Training)",2023-06-20 19:35:00,"data-scientist","super of up to 10%","QLD",NA,"Tuesday"
"Senior Data Engineer - Databricks","/job/67806142?type=standard","Melbourne VIC","(Information & Communication Technology)",2023-05-30 19:35:00,"data-scientist","$180,000 – $220,000 per year dep on exp + bonus","VIC",180000,"Tuesday"
"Data Interface Developer","/job/68285403?type=standout","Perth WA","(Information & Communication Technology)",2023-06-21 19:35:00,"data-scientist",NA,"WA",NA,"Wednesday"
"Senior Data Commercialisation Lead","/job/68299523?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-22 19:35:00,"data-scientist",NA,"VIC",NA,"Thursday"
"Data Engineer Team Lead","/job/67790466?type=standout","Sydney NSW","(Information & Communication Technology)",2023-05-29 19:35:00,"data-scientist",NA,"NSW",NA,"Monday"
"Senior Environmental Scientist/Botanist","/job/68296095?type=promoted","Perth WA","(Science & Technology)",NA,"data-scientist",NA,"WA",NA,NA
"Environmental Scientist - mid & senior level roles available SEQ","/job/68205767?type=promoted","Sunshine Coast QLD","(Consulting & Strategy)",NA,"data-scientist",NA,"QLD",NA,NA
"Research Associate - Paleo Ice Sheet Modeller","/job/68276018?type=standout","Hobart TAS","(Education & Training)",2023-06-21 19:35:00,"data-scientist",NA,"TAS",NA,"Wednesday"
"Web Data and Analytics Lead – EL 1","/job/68264665?type=standout","Brisbane QLD","(Marketing & Communications)",2023-06-21 19:35:00,"data-scientist","$112,682 to $ 122,848 + 15.4% Super","QLD",112682,"Wednesday"
"Senior Data Modeler","/job/68058088?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist","$180k - $200k p.a.","VIC",180,"Friday"
"Senior Consultant - Data & AI","/job/67754633?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-05-26 19:35:00,"data-scientist",NA,"QLD",NA,"Friday"
"Delivery Lead - Data","/job/67959748?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-06 19:35:00,"data-scientist","$180k - $200k p.a.","VIC",180,"Tuesday"
"Senior Data Engineer - Contract - Long term.","/job/67963014?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-06 19:35:00,"data-scientist","$95 – $110 per hour","NSW",95,"Tuesday"
"Quality Assurance Data Engineer","/job/68112888?type=standout","Sydney NSW","(Information & Communication Technology)",2023-06-13 19:35:00,"data-scientist",NA,"NSW",NA,"Tuesday"
"Senior Data Engineer | AWS, Snowflake, Python","/job/67841083?type=standout","Brisbane QLD","(Information & Communication Technology)",2023-05-31 19:35:00,"data-scientist","$140-150k+Super+Bonus","QLD",140,"Wednesday"
"Scientist","/job/67993471?type=standard","Sydney NSW","(Science & Technology)",2023-06-07 19:35:00,"data-scientist","$97,933 to $108,202 + super and leave loading","NSW",97933,"Wednesday"
"Research Assistant - Data Framework","/job/68268274?type=standout","Melbourne VIC","(Healthcare & Medical)",2023-06-21 19:35:00,"data-scientist",NA,"VIC",NA,"Wednesday"
"Channel Execution Lead","/job/67778084?type=standout","Brisbane QLD","(Consulting & Strategy)",2023-05-29 19:35:00,"data-scientist",NA,"QLD",NA,"Monday"
"Data Engineering Manager","/job/67841945?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-05-31 19:35:00,"data-scientist","$150k - $200k p.a. + Bonus","VIC",150,"Wednesday"
"Data Delivery Lead","/job/68058061?type=standout","Melbourne VIC","(Information & Communication Technology)",2023-06-09 19:35:00,"data-scientist","$180k - $200k p.a.","VIC",180,"Friday"
"Spatial Data Specialist","/job/68271150?type=standout","South West Coast VIC","(Science & Technology)",2023-06-21 19:35:00,"data-scientist",NA,"VIC",NA,"Wednesday"
"Tactical Data Link Specialist Consultant","/job/68057010?type=standout","Canberra ACT","(Government & Defence)",2023-06-09 19:35:00,"data-scientist",NA,"ACT",NA,"Friday"
"Data Engineer","/job/67728654?type=standard","Brisbane QLD","(Information & Communication Technology)",2023-06-23 18:35:00,"data-scientist","Weekly payroll/No admin fees","QLD",NA,"Friday"
"Spatial Image Data Specialist","/job/67901195?type=standard","Adelaide SA","(Science & Technology)",2023-06-02 19:35:00,"data-scientist",NA,"SA",NA,"Friday"
